symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
COALINDIA,2022-10-24 00:00:00,4,2022-12-05 00:00:00,11,42,1100.483915984204,180.4050311785474,180.65833212007945,198768.61967926793,198811.58878667993,42.96910741200554,0.0,198.81158878667995,5.904704186964394,0.19881158878667993,1.0986328396351932,0.0,206.0137374020662,-163.04462999006066,0.00021617651458937675,SellReason.RANK_EXIT
ADANIENT,2022-07-25 00:00:00,2,2022-12-27 00:00:00,,155,77.74338980437797,2500.450493325617,3725.671078150604,194624.36587219377,289646.29891155957,95021.9330393658,0.0,289.6462989115596,8.60249507767332,0.2896462989115596,1.6005854477852781,0.0,300.1390257359298,94721.79401362987,0.4882324605839176,SellReason.MARKET_EXIT
APARINDS,2022-07-25 00:00:00,5,2022-12-27 00:00:00,,155,204.46077928680614,950.7617943511715,1631.2402738270494,194624.36587219377,333524.65759070154,138900.29171850777,0.0,333.52465759070157,9.905682330443836,0.33352465759070155,1.8430572578462165,0.0,345.60692183658233,138554.68479667118,0.7136839783448339,SellReason.MARKET_EXIT
BANKINDIA,2022-11-22 00:00:00,3,2022-12-27 00:00:00,,35,3075.5669719382126,69.81345167098446,79.3738908735708,214970.95028675933,244119.71720498227,29148.766918222944,0.0,244.11971720498227,7.250355600987973,0.24411971720498227,1.349005557274732,0.0,252.96319808044996,28895.803720142492,0.13559398085806526,SellReason.MARKET_EXIT
BANKBARODA,2022-11-22 00:00:00,4,2022-12-27 00:00:00,,35,1491.8692551211695,143.92410421973958,157.8122972053003,214970.95028675933,235435.31428063198,20464.363993872656,0.0,235.43531428063199,6.99242883413477,0.23543531428063197,1.3010155467147722,0.0,243.96419397576216,20220.39979989689,0.09519595073927119,SellReason.MARKET_EXIT
DHANBANK,2022-12-22 00:00:00,5,2022-12-27 00:00:00,,5,9446.189712019497,21.0,19.700000762939453,198605.57504927786,186089.9445336549,-12515.630515622965,0.0,186.0899445336549,5.52687135264955,0.18608994453365488,1.0283330334929768,0.0,192.83123886433106,-12708.461754487296,-0.06301751857931277,SellReason.MARKET_EXIT
IGL,2023-05-02 00:00:00,4,2023-05-05 00:00:00,12,3,1099.436625949864,233.9294789408919,228.741525395091,257496.0855886074,251486.810895004,-6009.274693603424,0.0,251.486810895004,7.469158283581619,0.25148681089500396,1.3897161170057921,0.0,260.5971721064864,-6269.87186570991,-0.023337343866283985,SellReason.RANK_EXIT
BANKINDIA,2023-05-02 00:00:00,3,2023-05-09 00:00:00,12,7,3410.2780531379935,75.4163247188387,72.92615730816827,257496.0855886074,248698.47376773515,-8797.611820872262,0.0,248.69847376773515,7.386344670901734,0.24869847376773513,1.3743077660405045,0.0,257.7078246784451,-9055.319645550708,-0.03416600217732203,SellReason.RANK_EXIT
ZYDUSLIFE,2023-05-02 00:00:00,5,2023-05-16 00:00:00,10,14,506.28431737158087,507.9964522152524,506.1399078169234,257496.0855886074,256250.69772360593,-1245.3878650014813,0.0,256.2506977236059,7.610645722391096,0.2562506977236059,1.4160413556206464,0.0,265.53363549934124,-1510.9215005008225,-0.004836531251163151,SellReason.RANK_EXIT
PFC,2023-05-02 00:00:00,2,2023-05-18 00:00:00,21,16,2141.4699703008014,120.10004371009587,116.27452475603468,257496.0855886074,248998.4030760454,-8497.682512562023,0.0,248.9984030760454,7.395252571358548,0.24899840307604537,1.375965175398227,0.0,258.0186192258782,-8755.701131787902,-0.033001210457771685,SellReason.RANK_EXIT
APARINDS,2023-05-02 00:00:00,1,2023-05-19 00:00:00,10,17,92.67024292203892,2775.3314216878853,2667.6900675871407,257496.0855886074,247215.48660401077,-10280.59898459664,0.0,247.21548660401078,7.34229995213912,0.24721548660401077,1.3661127789737635,0.0,256.17111482172766,-10536.770099418367,-0.039925263178647294,SellReason.RANK_EXIT
APARINDS,2023-05-23 00:00:00,3,2023-05-31 00:00:00,11,8,90.58008166563057,2759.6960272606384,2655.5723372556113,250270.3687400139,240541.95917760272,-9728.409562411165,0.0,240.54195917760273,7.144096187574801,0.2405419591776027,1.3292348664154325,0.0,249.25583219077055,-9977.665394601936,-0.0388715995880329,SellReason.RANK_EXIT
WSI,2023-05-23 00:00:00,1,2023-06-15 00:00:00,,23,3109.1229698686534,80.4000015258789,84.9000015258789,250270.3687400139,263964.5448859938,13694.17614597993,0.0,263.9645448859938,7.839746983114017,0.2639645448859938,1.4586680750400018,0.0,273.52692448903383,13420.649221490898,0.05471752894648798,SellReason.RANK_EXIT
IOC,2023-05-23 00:00:00,4,2023-06-15 00:00:00,14,23,3441.9746775949325,72.62502340553328,77.48330662720456,250270.36874001386,266695.5793471617,16425.210607147834,0.0,266.6955793471617,7.920858706610702,0.2666955793471617,1.4737597714724155,0.0,276.35689340459203,16148.853713743241,0.0656298653725591,SellReason.RANK_EXIT
APARINDS,2023-06-22 00:00:00,1,2023-06-27 00:00:00,23,5,82.2863928772502,3117.117524344457,3274.598209916426,256800.98125355795,269454.8748163232,12653.893562765268,0.0,269.45487481632324,8.0028097820448,0.2694548748163232,1.4890076382350022,0.0,279.2161471114194,12374.677415653849,0.04927509817523312,SellReason.RANK_EXIT
IDFCFIRSTB,2023-06-22 00:00:00,3,2023-06-27 00:00:00,14,5,3142.074149811308,81.63281482971142,77.84520829183619,256800.98125355795,244595.41666045538,-12205.56459310258,0.0,244.59541666045538,7.264483874815525,0.24459541666045537,1.3516342724656765,0.0,253.45613022439704,-12459.020723326976,-0.0475292755250462,SellReason.RANK_EXIT
APOLLOTYRE,2023-05-23 00:00:00,2,2023-06-28 00:00:00,11,36,702.936645130334,355.6131171326776,386.32080083218216,250270.3687400139,271559.0476810381,21288.678941024205,0.0,271.5590476810381,8.06530371612683,0.27155904768103806,1.5006352974854162,0.0,281.3965457423314,21007.282395281873,0.08506272255961445,SellReason.RANK_EXIT
OFSS,2023-05-23 00:00:00,5,2023-06-30 00:00:00,11,38,77.60460887721644,3221.1165694692827,3462.1158548892345,250270.36874001386,268676.14680628886,18405.778066275,0.0,268.67614680628884,7.979681560146779,0.2686761468062889,1.484704387251552,0.0,278.40920890049347,18127.36885737451,0.07354357672839533,SellReason.RANK_EXIT
ARVIND,2023-07-24 00:00:00,5,2023-07-25 00:00:00,13,1,1928.0493586411606,136.39999389648438,135.5500030517578,263298.25198303175,261347.096447749,-1951.1555352827418,0.0,261.34709644774904,7.7620087644981455,0.261347096447749,1.444204054970261,0.0,270.8146563636652,-2221.970191646407,-0.0074104386207945044,SellReason.RANK_EXIT
IDFCFIRSTB,2023-07-24 00:00:00,4,2023-07-31 00:00:00,11,7,3163.629398991707,83.127916574107,85.22106127681421,263298.25198303175,269607.8548686032,6309.602885571425,0.0,269.60785486860317,8.007353289597514,0.26960785486860317,1.489853006003901,0.0,279.37466901907317,6030.228216552352,0.023963709740002555,SellReason.RANK_EXIT
TMPV,2023-07-24 00:00:00,3,2023-08-09 00:00:00,12,16,429.87787722179837,611.7689108599686,596.7199483287636,263298.25198303175,256516.7046834701,-6781.547299561644,0.0,256.5167046834701,7.618546129099062,0.2565167046834701,1.4175113100808558,0.0,265.80927882733346,-7047.356578388977,-0.02575614250564292,SellReason.RANK_EXIT
ARVIND,2023-08-22 00:00:00,4,2023-09-13 00:00:00,13,22,1602.370797740196,163.4499969482422,159.4499969482422,262218.55246520403,255498.01880962664,-6720.533655577397,0.0,255.49801880962664,7.588291158645911,0.25549801880962664,1.4118820519419968,0.0,264.75369003902415,-6985.287345616422,-0.025629512452095476,SellReason.RANK_EXIT
PFC,2023-06-22 00:00:00,2,2023-10-30 00:00:00,,130,1709.6503452956763,150.0285470409504,213.74310615408152,256800.98125355795,365425.9752408959,108624.99398733792,0.0,365.42597524089587,10.853151464654607,0.3654259752408959,2.0193439391811903,0.0,378.66389661997255,108246.33009071795,0.42299290858271565,SellReason.MARKET_EXIT
APARINDS,2023-07-24 00:00:00,1,2023-10-30 00:00:00,,98,71.40285923080128,3683.1287091838167,4960.264948557905,263298.25198303175,354177.09986935783,90878.84788632608,0.0,354.17709986935785,10.519059866119928,0.3541770998693578,1.9571826538780712,0.0,367.00751948922516,90511.84036683686,0.3451555306648324,SellReason.MARKET_EXIT
LUPIN,2023-08-22 00:00:00,3,2023-10-30 00:00:00,,69,242.53618387341191,1079.8698067142268,1127.0187171628604,262218.5524652041,273342.8188145883,11124.266349384212,0.0,273.3428188145883,8.118281718793273,0.2733428188145883,1.5104924167694151,0.0,283.2449357689656,10841.021413615246,0.04242364334941701,SellReason.MARKET_EXIT
BSOFT,2023-08-22 00:00:00,5,2023-10-30 00:00:00,,69,582.9243338489008,449.29931174991265,526.5376856769892,262218.55246520403,306931.62966960086,44713.07720439683,0.0,306.93162966960085,9.115869401187146,0.30693162966960086,1.6961041855542143,0.0,318.05053488601175,44395.02666951082,0.17051835876612959,SellReason.MARKET_EXIT
ARVIND,2023-09-22 00:00:00,5,2023-10-30 00:00:00,,38,1545.0333380875022,165.0,176.10000610351562,255233.26511958762,272080.38026734424,16847.115147756616,0.0,272.08038026734425,8.080787293940125,0.2720803802673442,1.5035161813573443,0.0,281.9367641229091,16565.17838363371,0.06600673756166943,SellReason.MARKET_EXIT
ARVIND,2023-12-04 00:00:00,4,2023-12-05 00:00:00,10,1,1368.3456794960052,229.25,226.39999389648438,314065.80004218,309793.4534861763,-4272.346556003671,0.0,309.7934534861763,9.200865568539436,0.3097934534861763,1.71191862396461,0.0,321.0160311321665,-4593.362587135838,-0.01360334858309909,SellReason.RANK_EXIT
APARINDS,2023-12-04 00:00:00,5,2023-12-14 00:00:00,16,10,57.725439572658956,5434.228813963621,5261.32119994049,314065.80004218,303712.0789995143,-10353.721042665711,0.0,303.7120789995143,9.020248746285574,0.30371207899951425,1.6783129485513157,0.0,314.7143527733507,-10668.435395439063,-0.03296672557558058,SellReason.RANK_EXIT
HDFCAMC,2023-12-22 00:00:00,5,2023-12-26 00:00:00,10,4,204.2771910253038,1498.3141214529699,1520.257876628626,306434.90105089254,310554.0086717886,4119.107620896073,0.0,310.5540086717886,9.223454057552122,0.3105540086717886,1.7161214519203036,0.0,321.8041381899328,3797.30348270614,0.013442031592256438,SellReason.RANK_EXIT
BALMLAWRIE,2024-01-24 00:00:00,5,2024-02-12 00:00:00,11,19,1199.1648852386425,258.3999938964844,264.3999938964844,310232.2045335987,317059.1883379755,6826.983804376796,0.0,317.05918833797546,9.416657893637872,0.3170591883379755,1.7520690747556524,0.0,328.54497449470693,6498.438829882089,0.02200604484192879,SellReason.RANK_EXIT
ARVIND,2023-12-22 00:00:00,4,2024-02-22 00:00:00,10,62,1240.6623582900672,246.6999969482422,289.29998779296875,306434.90105089254,358923.6051085123,52488.70405761973,0.0,358.9236051085123,10.660031071722814,0.35892360510851223,1.9834118418296387,0.0,371.9259716271732,52116.77808599256,0.17128826996407448,SellReason.RANK_EXIT
BSOFT,2023-12-04 00:00:00,3,2024-02-27 00:00:00,10,85,499.0329716404543,628.6022464472957,761.1446725875304,314065.80004218,379836.28780965594,65770.48776747595,0.0,379.83628780965597,11.281137747946781,0.37983628780965595,2.098975326436159,0.0,393.5962371718486,65376.8915303041,0.2094162680516082,SellReason.RANK_EXIT
PFC,2023-12-04 00:00:00,2,2024-03-18 00:00:00,10,105,902.1196019256092,347.7291108128776,346.03218504103216,314065.80004218,312162.4170226647,-1903.3830195153132,0.0,312.16241702266467,9.271223785573142,0.3121624170226647,1.725009516467245,0.0,323.4708127417277,-2226.8538322570407,-0.006060459366348335,SellReason.RANK_EXIT
HINDPETRO,2024-02-22 00:00:00,4,2024-03-19 00:00:00,10,26,994.0831153405563,339.2479334190328,285.4555900462398,337641.1612501829,283766.5822445428,-53874.57900564012,0.0,283.7665822445428,8.427867492662921,0.28376658224454276,1.5680941334833434,0.0,294.0463104529336,-54168.62531609305,-0.15956164469450015,SellReason.RANK_EXIT
ZYDUSLIFE,2024-03-22 00:00:00,4,2024-04-03 00:00:00,10,12,331.388709733502,979.3110692223837,983.256012784693,324918.057905499,325839.9414144272,921.8835089281783,0.0,325.8399414144272,9.677446260008487,0.3258399414144272,1.8005915162561246,0.0,337.6438191321062,584.2396897960721,0.0028372800049060497,SellReason.RANK_EXIT
RECLTD,2023-12-04 00:00:00,1,2024-04-24 00:00:00,10,142,903.5257736730491,347.18793438422995,398.9041093851152,314065.80004218,360420.1440535448,46354.344011364796,0.0,360.4201440535448,10.70447827839028,0.3604201440535448,1.9916817160398885,0.0,373.4767241920285,45980.86728717277,0.14759437036805428,SellReason.RANK_EXIT
OFSS,2024-03-22 00:00:00,1,2024-04-26 00:00:00,20,35,43.522412655137025,7456.67833786868,6429.643774238141,324918.05790549895,279833.60956792504,-45084.44833757391,0.0,279.83360956792507,8.311058204167374,0.279833609567925,1.5463605264723537,0.0,289.9708619081327,-45374.41919948204,-0.13875636407591274,SellReason.RANK_EXIT
BAJAJ-AUTO,2024-03-22 00:00:00,3,2024-04-30 00:00:00,11,39,39.101276800928076,8299.796277998757,8394.576384621489,324918.057905499,328238.6548416189,3320.596936119895,0.0,328.23865484161894,9.748688048796081,0.3282386548416189,1.813846806654786,0.0,340.12942835191143,2980.4675077679835,0.010219798054701152,SellReason.RANK_EXIT
IOC,2024-02-22 00:00:00,2,2024-05-06 00:00:00,11,74,2063.934259566484,163.39698852466017,154.70950047701206,337641.1612501829,319310.2383149225,-18330.9229352604,0.0,319.3102383149225,9.483514077953197,0.3193102383149225,1.7645083769282617,0.0,330.8775710081189,-18661.80050626852,-0.05429113816392098,SellReason.RANK_EXIT
BALMLAWRIE,2024-05-22 00:00:00,5,2024-05-28 00:00:00,14,6,1041.4508829005556,308.45001220703125,293.04998779296875,321617.0480481378,305197.16852098436,-16419.879527153447,0.0,305.19716852098435,9.064355905073235,0.30519716852098433,1.6865195532469592,0.0,316.2532411478255,-16736.13276830127,-0.0510541329410368,SellReason.RANK_EXIT
ARVIND,2024-05-22 00:00:00,4,2024-06-04 00:00:00,12,13,880.7005827106233,364.75,368.79998779296875,321617.0480481378,324802.3641529383,3185.3161048004986,0.0,324.8023641529383,9.646630215342268,0.3248023641529383,1.7948578643091373,0.0,336.5686545967427,2848.7474502037558,0.00990406486264291,SellReason.RANK_EXIT
ABB,2024-05-22 00:00:00,3,2024-07-19 00:00:00,10,58,38.05728951077018,8440.841207380005,7794.581350007791,321617.04804813775,296640.6390524964,-24976.408995641337,0.0,296.6406390524964,8.810226979859143,0.2966406390524964,1.639236171404095,0.0,307.3867428428121,-25283.79573848415,-0.07765884659168631,SellReason.RANK_EXIT
ARVIND,2024-06-24 00:00:00,4,2024-07-23 00:00:00,10,29,861.0961141737514,365.0,375.0,314673.35538908903,322911.0428151568,8237.687426067772,0.0,322.9110428151568,9.590457971610157,0.3229110428151568,1.7844064225965564,0.0,334.60881825217865,7903.078607815593,0.026178534931506965,SellReason.RANK_EXIT
HINDZINC,2024-05-22 00:00:00,1,2024-08-19 00:00:00,35,89,450.4634838578875,713.122259750234,454.98685595568037,321617.04804813775,204954.96424334263,-116662.08380479511,0.0,204.95496424334263,6.087162438027276,0.2049549642433426,1.1325811324087114,0.0,212.37966277802195,-116874.46346757314,-0.3627360070394459,SellReason.RANK_EXIT
