Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,return_9m,return_6m,return_3m,volatility_3m
299,OIL,0.3149,1330484619.0,13.72,-5.07,-3.47,37.19
300,INDIANB,0.3148,2398716483.0,-0.02,-6.07,0.66,31.56
301,SARDAEN,0.3146,103989584.0,-5.16,7.11,-12.63,24.88
302,HDFCAMC,0.3139,2285829979.0,-0.96,5.06,-4.75,33.09
303,MOTILALOFS,0.3136,1251753472.0,-18.89,17.31,6.46,37.95
304,JSWDULUX,0.3134,59125764.0,-9.09,1.58,1.17,31.15
305,SOBHA,0.3133,481013005.0,-10.59,0.18,-4.27,25.1
306,IOB,0.3126,159197323.0,-16.48,-3.83,-2.78,20.76
307,BAJAJHFL,0.3124,271193171.0,-22.26,-2.27,-0.54,19.94
308,NHPC,0.3124,994288403.0,-7.82,1.23,-5.34,26.9
309,POLYMED,0.3123,137908569.0,-10.52,12.34,12.56,45.93
310,JIOFIN,0.312,4704018077.0,-17.2,0.77,3.22,27.98
311,TATAINVEST,0.3117,154222830.0,-16.81,9.46,-4.62,26.73
312,TORNTPOWER,0.3115,480734877.0,8.41,9.41,-18.31,31.24
313,CHAMBLFERT,0.3114,171754632.0,-10.45,0.84,-0.82,29.13
314,BANKINDIA,0.3114,1357320345.0,1.2,-13.62,2.8,31.34
315,TRIDENT,0.3107,161132758.0,-11.53,-3.99,-3.99,23.54
316,MFSL,0.3105,1022696154.0,-0.96,-4.92,-5.47,28.43
317,SUPREMEIND,0.3101,483284828.0,-8.24,-0.65,-3.6,27.98
318,CESC,0.3098,153589942.0,-7.37,15.82,-16.68,27.08
319,TITAGARH,0.3097,280618277.0,-7.89,5.74,7.39,40.83
320,TATACONSUM,0.3096,1330315357.0,-6.56,-3.49,-5.87,25.83
321,GRSE,0.309,868090194.0,1.64,3.56,-6.37,34.63
322,DOMS,0.3089,89056894.0,-9.63,-5.16,-1.36,26.99
323,COROMANDEL,0.3088,299536589.0,-7.11,-7.75,3.65,31.25
324,POLICYBZR,0.3085,4344762942.0,-4.99,-1.74,-3.88,29.84
325,CANFINHOME,0.308,240560898.0,-2.49,-7.12,-4.29,28.35
326,NIACL,0.3079,173094865.0,-8.19,17.57,7.44,47.96
327,RELIANCE,0.3071,13957539941.0,-11.64,-5.93,-10.2,18.92
328,UBL,0.307,181913453.0,-22.43,-1.57,-2.73,20.76
329,ITI,0.3064,100964482.0,-16.81,-0.84,-7.42,21.07
330,ASTRAL,0.3062,764504039.0,-1.01,-0.84,-5.42,32.55
331,LICHSGFIN,0.3061,593488663.0,-10.72,0.79,-6.09,26.95
332,BLUEDART,0.3059,57883277.0,-7.29,-3.72,-5.59,27.08
333,ASAHIINDIA,0.3053,77424518.0,-8.07,-11.63,4.82,31.0
334,BAYERCROP,0.3038,181773945.0,-14.18,-2.78,-11.12,19.73
335,JKCEMENT,0.3037,469200304.0,-13.0,-1.67,2.97,32.57
336,AFFLE,0.3037,449606541.0,-17.48,1.56,11.69,38.69
337,AIIL,0.3036,226854110.0,-10.22,7.41,16.22,50.11
338,HEXT,0.3028,709732402.0,-21.09,-17.77,27.84,39.38
339,ERIS,0.3025,105935299.0,-14.32,-1.71,2.95,32.24
340,CANBK,0.302,2843017852.0,0.26,-14.11,-3.88,29.07
341,BEL,0.3017,4015799766.0,-4.35,-12.37,-10.5,21.95
342,PERSISTENT,0.3014,3532084233.0,-5.47,-8.58,15.21,44.4
343,MGL,0.3013,328572707.0,-13.02,1.45,-2.23,31.09
344,SBFC,0.3012,95032054.0,-21.25,0.48,-2.07,25.62
345,JSL,0.3008,321368793.0,-9.32,-9.18,-4.25,26.09
346,HINDUNILVR,0.2996,3709861515.0,-14.02,-9.77,-8.8,19.69
347,VOLTAS,0.2994,931465682.0,-7.21,0.19,-6.8,31.04
348,DRREDDY,0.2994,3170660665.0,-10.96,-6.09,-10.81,22.05
349,VBL,0.2993,2563538733.0,-2.39,-5.36,-12.72,26.22
350,IRB,0.2992,260194348.0,-10.12,-1.26,-7.11,28.29
351,HCLTECH,0.2988,4766322516.0,-11.22,-20.27,12.22,33.08
352,GICRE,0.2988,164010524.0,-7.6,-4.42,-9.35,26.47
353,NBCC,0.2986,776620678.0,-14.71,-1.98,3.44,33.93
354,RAMCOCEM,0.2979,99532492.0,-12.27,-12.96,-1.8,25.44
355,GRAVITA,0.2972,572554430.0,-1.63,-0.46,-6.15,35.63
356,FACT,0.2967,80570602.0,-6.6,4.21,-8.07,33.78
357,JYOTICNC,0.2965,572425240.0,-7.79,-3.79,6.6,40.67
358,BLUESTARCO,0.2958,470010014.0,-13.86,-1.19,-6.71,27.82
359,OLAELEC,0.2954,1948209876.0,-25.11,21.38,11.93,48.61
360,FORCEMOT,0.2953,1566335686.0,7.53,-2.89,-5.6,41.2
361,AMBER,0.295,1832149527.0,-10.49,34.14,-9.31,47.53
362,MAZDOCK,0.2943,1626689177.0,-13.88,-4.64,-8.8,24.86
363,NUVOCO,0.294,1626973260.0,-18.84,-2.02,18.66,45.72
364,IOC,0.2939,1661663305.0,-10.3,-12.97,-1.39,28.69
365,SRF,0.2935,1656571696.0,-13.22,-6.9,2.79,33.77
366,APTUS,0.2935,300054725.0,-15.38,-1.44,1.35,34.29
367,HINDZINC,0.2934,1531966532.0,13.53,-23.23,-11.79,29.51
