date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2021-08-23,2021-08-24,NIFTY500,BRIGADE,203,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SCI,205,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CCL,206,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,STARCEMENT,207,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SJVN,212,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BALMLAWRIE,215,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GSFC,217,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BDL,218,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CHOLAHLDNG,219,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,FACT,220,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JKTYRE,222,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GVT&D,223,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SUPRAJIT,224,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,INGERRAND,226,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RAYMOND,227,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RVNL,228,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,FINCABLES,229,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TCIEXP,233,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,METROPOLIS,234,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CSBBANK,236,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,VESUVIUS,237,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,EIDPARRY,238,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RCF,242,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CYBERTECH,243,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,MOREPENLAB,245,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,1,5,2021,2021-08-23,1
2021-08-23,2021-08-24,NIFTY500,GREAVESCOT,246,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,MAHSEAMLES,247,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,LAOPALA,248,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,WESTLIFE,254,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RITES,256,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NFL,257,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BOSCH-HCIL,258,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GOODYEAR,260,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,JBMA,263,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,COCHINSHIP,264,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GAEL,266,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,MGL,267,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GESHIP,268,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CEATLTD,270,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TIMETECHNO,273,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,INDOCO,274,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,THYROCARE,275,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
